State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Dec  7 2020,184883,205096,0
United States,Dec  6 2020,174768,200703,0
United States,Dec  5 2020,205423,195644,0
United States,Dec  4 2020,228275,186829,0
United States,Dec  3 2020,224021,176830,0
United States,Dec  2 2020,215178,165840,0
United States,Dec  1 2020,203130,163664,0
United States,Nov 30 2020,154127,161233,0
United States,Nov 29 2020,139357,161817,0
United States,Nov 28 2020,143717,163313,0
United States,Nov 27 2020,158281,167642,0
United States,Nov 26 2020,147092,172931,0
United States,Nov 25 2020,199948,179271,0
United States,Nov 24 2020,186115,176077,0
United States,Nov 23 2020,158214,174233,0
United States,Nov 22 2020,149827,173180,0
United States,Nov 21 2020,174020,171313,0
United States,Nov 20 2020,195302,169862,0
United States,Nov 19 2020,191475,167791,0
United States,Nov 18 2020,177588,163953,0
United States,Nov 17 2020,173205,161174,0
United States,Nov 16 2020,150845,158584,0
United States,Nov 15 2020,136758,154669,0
United States,Nov 14 2020,163866,150879,0
United States,Nov 13 2020,180806,145930,0
United States,Nov 12 2020,164609,139828,0
United States,Nov 11 2020,158132,134298,0
United States,Nov 10 2020,155073,128437,0
United States,Nov  9 2020,123443,121069,0
United States,Nov  8 2020,110229,115846,0
United States,Nov  7 2020,129219,110747,0
United States,Nov  6 2020,138093,105545,0
United States,Nov  5 2020,125903,99805,0
United States,Nov  4 2020,117100,95064,0
United States,Nov  3 2020,103500,90708,0
United States,Nov  2 2020,86884,87365,0
United States,Nov  1 2020,74530,84860,67475
United States,Oct 31 2020,92809,83175,0
United States,Oct 30 2020,97913,80732,0
United States,Oct 29 2020,92718,78455,0
United States,Oct 28 2020,86605,75888,0
United States,Oct 27 2020,80102,73745,0
United States,Oct 26 2020,69344,71193,0
United States,Oct 25 2020,62738,70033,0
United States,Oct 24 2020,75705,67693,0
United States,Oct 23 2020,81975,64662,0
United States,Oct 22 2020,74751,63012,0
United States,Oct 21 2020,71600,61423,0
United States,Oct 20 2020,62239,59759,0
United States,Oct 19 2020,61226,58750,0
United States,Oct 18 2020,46360,56770,0
United States,Oct 17 2020,54484,56351,0
United States,Oct 16 2020,70427,56362,0
United States,Oct 15 2020,63626,54763,0
United States,Oct 14 2020,59952,53661,0
United States,Oct 13 2020,55179,53115,0
United States,Oct 12 2020,47367,51511,0
United States,Oct 11 2020,43427,50632,0
United States,Oct 10 2020,54557,49378,0
United States,Oct  9 2020,59234,48423,0
United States,Oct  8 2020,55916,47288,0
United States,Oct  7 2020,56129,46103,0
United States,Oct  6 2020,43948,44842,0
United States,Oct  5 2020,41216,44474,0
United States,Oct  4 2020,34648,44180,0
United States,Oct  3 2020,47875,44002,0
United States,Oct  2 2020,51286,43060,0
United States,Oct  1 2020,47624,42884,0
United States,Sep 30 2020,47299,42603,0
United States,Sep 29 2020,41374,41935,0
United States,Sep 28 2020,39154,43498,0
United States,Sep 27 2020,33408,43841,0
United States,Sep 26 2020,41278,43664,0
United States,Sep 25 2020,50054,43730,0
United States,Sep 24 2020,45654,43365,0
United States,Sep 23 2020,42625,43368,0
United States,Sep 22 2020,52318,43661,0
United States,Sep 21 2020,41551,41710,0
United States,Sep 20 2020,32172,40684,0
United States,Sep 19 2020,41737,40577,0
United States,Sep 18 2020,47503,40351,0
United States,Sep 17 2020,45673,39913,0
United States,Sep 16 2020,44677,39111,0
United States,Sep 15 2020,38663,38218,0
United States,Sep 14 2020,34367,36830,0
United States,Sep 13 2020,31420,35404,0
United States,Sep 12 2020,40157,35369,0
United States,Sep 11 2020,44438,35597,0
United States,Sep 10 2020,40061,36499,0
United States,Sep  9 2020,38421,37342,0
United States,Sep  8 2020,28948,38112,0
United States,Sep  7 2020,24383,39814,0
United States,Sep  6 2020,31178,41823,0
United States,Sep  5 2020,41756,42326,0
United States,Sep  4 2020,50751,42256,0
United States,Sep  3 2020,45960,41491,0
United States,Sep  2 2020,43814,41701,1705
United States,Sep  1 2020,40860,42306,0
United States,Aug 31 2020,38442,42538,0
United States,Aug 30 2020,34704,42321,0
United States,Aug 29 2020,41261,42338,0
United States,Aug 28 2020,45399,42511,0
United States,Aug 27 2020,47433,42688,0
United States,Aug 26 2020,48043,42630,0
United States,Aug 25 2020,42486,42620,0
United States,Aug 24 2020,36922,42769,0
United States,Aug 23 2020,34825,43315,0
United States,Aug 22 2020,42470,44017,0
United States,Aug 21 2020,46637,45303,0
United States,Aug 20 2020,47028,46496,0
United States,Aug 19 2020,47978,47341,0
United States,Aug 18 2020,43529,48525,0
United States,Aug 17 2020,40739,51098,0
United States,Aug 16 2020,39738,51576,0
United States,Aug 15 2020,51474,52063,0
United States,Aug 14 2020,54988,52026,0
United States,Aug 13 2020,52946,52815,0
United States,Aug 12 2020,56265,53154,0
United States,Aug 11 2020,61541,53242,0
United States,Aug 10 2020,44083,52169,0
United States,Aug  9 2020,43144,52360,0
United States,Aug  8 2020,51218,53192,0
United States,Aug  7 2020,60514,53793,0
United States,Aug  6 2020,55319,54637,0
United States,Aug  5 2020,56881,56315,0
United States,Aug  4 2020,54027,57569,0
United States,Aug  3 2020,45421,58527,0
United States,Aug  2 2020,48964,59450,0
United States,Aug  1 2020,55425,60250,0
United States,Jul 31 2020,66426,60945,0
United States,Jul 30 2020,67064,61791,0
United States,Jul 29 2020,65657,62772,0
United States,Jul 28 2020,60732,63735,0
United States,Jul 27 2020,51885,64587,0
United States,Jul 26 2020,54567,65608,0
United States,Jul 25 2020,60288,65895,0
United States,Jul 24 2020,72350,66847,0
United States,Jul 23 2020,73926,67444,0
United States,Jul 22 2020,72400,67076,0
United States,Jul 21 2020,66698,67321,0
United States,Jul 20 2020,59028,67391,0
United States,Jul 19 2020,56578,66899,0
United States,Jul 18 2020,66951,66996,0
United States,Jul 17 2020,76530,67130,0
United States,Jul 16 2020,71349,66234,0
United States,Jul 15 2020,74116,65344,0
United States,Jul 14 2020,67185,64491,0
United States,Jul 13 2020,55586,63593,0
United States,Jul 12 2020,57261,63086,0
United States,Jul 11 2020,67886,60454,0
United States,Jul 10 2020,70260,57756,0
United States,Jul  9 2020,65119,56372,0
United States,Jul  8 2020,68143,55173,0
United States,Jul  7 2020,60897,54181,0
United States,Jul  6 2020,52042,52448,0
United States,Jul  5 2020,38831,50590,0
United States,Jul  4 2020,49004,50358,0
United States,Jul  3 2020,60571,49750,0
United States,Jul  2 2020,56724,47889,0
United States,Jul  1 2020,61200,46711,0
United States,Jun 30 2020,48766,43513,0
United States,Jun 29 2020,39034,42238,0
United States,Jun 28 2020,37209,40783,0
United States,Jun 27 2020,44751,39334,0
United States,Jun 26 2020,47543,37791,0
United States,Jun 25 2020,48479,35811,0
United States,Jun 24 2020,38812,33147,0
United States,Jun 23 2020,39843,31401,0
United States,Jun 22 2020,28847,29457,0
United States,Jun 21 2020,27068,28249,0
United States,Jun 20 2020,33948,27169,0
United States,Jun 19 2020,33683,25949,0
United States,Jun 18 2020,29829,25173,0
United States,Jun 17 2020,26594,24258,0
United States,Jun 16 2020,26235,23761,0
United States,Jun 15 2020,20387,22845,0
United States,Jun 14 2020,19510,22448,0
United States,Jun 13 2020,25410,22114,0
United States,Jun 12 2020,28247,21814,0
United States,Jun 11 2020,23428,21341,0
United States,Jun 10 2020,23111,21069,0
United States,Jun  9 2020,19823,20873,0
United States,Jun  8 2020,17609,21196,0
United States,Jun  7 2020,17171,21103,0
United States,Jun  6 2020,23312,21568,0
United States,Jun  5 2020,24938,21683,0
United States,Jun  4 2020,21524,21474,0
United States,Jun  3 2020,21740,21989,0
United States,Jun  2 2020,22082,22003,0
United States,Jun  1 2020,16955,21191,0
United States,May 31 2020,20431,21419,0
United States,May 30 2020,24114,21520,0
United States,May 29 2020,23478,21042,0
United States,May 28 2020,25123,21435,0
United States,May 27 2020,21843,21557,0
United States,May 26 2020,16399,22035,0
United States,May 25 2020,18546,22796,0
United States,May 24 2020,21141,23631,0
United States,May 23 2020,20764,23316,0
United States,May 22 2020,26235,23958,0
United States,May 21 2020,25977,24103,0
United States,May 20 2020,25184,25349,0
United States,May 19 2020,21729,24289,0
United States,May 18 2020,24391,24714,0
United States,May 17 2020,18935,23969,0
United States,May 16 2020,25256,24287,0
United States,May 15 2020,27252,24395,0
United States,May 14 2020,34697,24560,0
United States,May 13 2020,17768,24040,0
United States,May 12 2020,24701,25030,0
United States,May 11 2020,19175,24868,0
United States,May 10 2020,21166,25143,0
United States,May  9 2020,26011,26047,0
United States,May  8 2020,28408,26299,0
United States,May  7 2020,31057,26479,0
United States,May  6 2020,24693,26730,0
United States,May  5 2020,23570,27221,0
United States,May  4 2020,21099,27276,0
United States,May  3 2020,27494,27677,0
United States,May  2 2020,27778,27607,0
United States,May  1 2020,29663,28428,0
United States,Apr 30 2020,32819,29062,0
United States,Apr 29 2020,28125,29080,0
United States,Apr 28 2020,23960,29572,0
United States,Apr 27 2020,23903,29898,0
United States,Apr 26 2020,27004,30142,0
United States,Apr 25 2020,33527,30254,0
United States,Apr 24 2020,34098,29398,0
United States,Apr 23 2020,32947,28811,0
United States,Apr 22 2020,31567,28671,0
United States,Apr 21 2020,26240,27791,0
United States,Apr 20 2020,25614,27675,0
United States,Apr 19 2020,27787,27541,0
United States,Apr 18 2020,27533,27470,0
United States,Apr 17 2020,29989,28132,0
United States,Apr 16 2020,31967,28406,0
United States,Apr 15 2020,25412,28815,0
United States,Apr 14 2020,25428,29949,0
United States,Apr 13 2020,24675,30672,0
United States,Apr 12 2020,27288,31198,0
United States,Apr 11 2020,32170,31190,0
United States,Apr 10 2020,31904,31234,0
United States,Apr  9 2020,34828,31211,0
United States,Apr  8 2020,33354,30517,0
United States,Apr  7 2020,30490,29827,0
United States,Apr  6 2020,28352,28824,0
United States,Apr  5 2020,27236,27059,0
United States,Apr  4 2020,32477,26928,0
United States,Apr  3 2020,31741,25247,0
United States,Apr  2 2020,29974,23633,0
United States,Apr  1 2020,28521,22069,0
United States,Mar 31 2020,23473,20056,0
United States,Mar 30 2020,15993,18379,0
United States,Mar 29 2020,26321,17663,0
United States,Mar 28 2020,20706,15466,0
United States,Mar 27 2020,20444,13867,0
United States,Mar 26 2020,19028,12068,0
United States,Mar 25 2020,14428,10287,0
United States,Mar 24 2020,11738,8979,0
United States,Mar 23 2020,10980,7806,0
United States,Mar 22 2020,10942,6593,0
United States,Mar 21 2020,9510,5357,0
United States,Mar 20 2020,7856,4197,0
United States,Mar 19 2020,6559,3217,0
United States,Mar 18 2020,5270,2396,0
United States,Mar 17 2020,3527,1721,0
United States,Mar 16 2020,2493,1291,0
United States,Mar 15 2020,2284,1000,0
United States,Mar 14 2020,1391,705,0
United States,Mar 13 2020,995,531,0
United States,Mar 12 2020,812,408,0
United States,Mar 11 2020,546,304,0
United States,Mar 10 2020,520,237,0
United States,Mar  9 2020,452,174,0
United States,Mar  8 2020,225,115,0
United States,Mar  7 2020,172,88,0
United States,Mar  6 2020,132,65,0
United States,Mar  5 2020,87,47,0
United States,Mar  4 2020,77,36,0
United States,Mar  3 2020,74,27,0
United States,Mar  2 2020,43,17,0
United States,Mar  1 2020,32,12,0
United States,Feb 29 2020,12,7,0
United States,Feb 28 2020,8,7,0
United States,Feb 27 2020,11,6,0
United States,Feb 26 2020,10,5,0
United States,Feb 25 2020,5,4,0
United States,Feb 24 2020,8,4,0
United States,Feb 23 2020,1,4,0
United States,Feb 22 2020,6,4,0
United States,Feb 21 2020,7,3,0
United States,Feb 20 2020,2,2,0
United States,Feb 19 2020,3,2,0
United States,Feb 18 2020,5,2,0
United States,Feb 17 2020,6,1,0
United States,Feb 16 2020,0,1,0
United States,Feb 15 2020,2,1,0
United States,Feb 14 2020,1,0,0
United States,Feb 13 2020,2,0,0
United States,Feb 12 2020,1,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,1,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,1,1,0
United States,Feb  7 2020,1,1,0
United States,Feb  6 2020,0,1,0
United States,Feb  5 2020,0,1,0
United States,Feb  4 2020,0,1,0
United States,Feb  3 2020,4,2,0
United States,Feb  2 2020,3,1,0
United States,Feb  1 2020,4,1,0
United States,Jan 31 2020,2,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,1,1,0
United States,Jan 27 2020,0,1,0
United States,Jan 26 2020,1,1,0
United States,Jan 25 2020,0,1,0
United States,Jan 24 2020,1,1,0
United States,Jan 23 2020,1,1,0
